Accession,Release_Date,Species,Family,Length,Nuc_Completeness,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_code
MT293192,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29868,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USACT-UW427/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293193,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29251,partial,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USACT-UW428/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S) and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E) gene, partial cds; and membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",Severe acute respiratory syndrome-related coronavirus
MT293194,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29653,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1349/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293195,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29871,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USACT-UW430/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293196,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29888,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1567/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293197,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29619,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1593/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293198,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29881,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1583/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293199,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29671,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1581/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293200,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29852,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1603/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293201,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29846,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1611/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293202,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29874,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1448/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293203,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29527,partial,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1426/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",Severe acute respiratory syndrome-related coronavirus
MT293204,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29896,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1446/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293205,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29833,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1561/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293206,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29668,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1588/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293207,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29866,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1586/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293208,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29884,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1587/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293209,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29842,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1552/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293210,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29871,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1578/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293211,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29864,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1591/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293212,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29883,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1576/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293213,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29887,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1574/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293214,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29801,partial,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1570/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",Severe acute respiratory syndrome-related coronavirus
MT293215,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29855,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1569/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293216,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29859,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1562/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293217,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29273,partial,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1435/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",Severe acute respiratory syndrome-related coronavirus
MT293218,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29870,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1441/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293219,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29885,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1440/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293220,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29869,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1470/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293221,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29559,partial,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1471/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",Severe acute respiratory syndrome-related coronavirus
MT293222,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29842,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1433/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293223,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29846,partial,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1425/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",Severe acute respiratory syndrome-related coronavirus
MT293224,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29847,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1608/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT293225,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29865,complete,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1599/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT295464,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29892,complete,"Elbadry,M.A., Subramaniam,K., Waltzek,T.B., Stephenson,C.J., Gibson,J.C., Alam,M., Morris,J.G. Jr., Lednicky,J.A.",,USA,Homo sapiens,,2020-03-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS CoV-2/human/USA/UF-1/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT295465,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29893,complete,"Elbadry,M.A., Subramaniam,K., Waltzek,T.B., Gibson,J.C., Stephenson,C.J., Morris,J.G. Jr., Lednicky,J.A.",,USA,Homo sapiens,,2020-03-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UF-2/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276323,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Queen,K., Uehara,A., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: RI,Homo sapiens,oronasopharynx,2020-02-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/RI_0520/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276324,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Queen,K., Uehara,A., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: CA,Homo sapiens,oronasopharynx,2020-02-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA_2602/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276325,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Queen,K., Uehara,A., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: WA,Homo sapiens,oronasopharynx,2020-02-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA_5030/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276326,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Queen,K., Uehara,A., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2741/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276327,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Queen,K., Uehara,A., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2742/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276328,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Queen,K., Uehara,A., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: OR,Homo sapiens,oronasopharynx,2020-02-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OR_2656/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276329,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Tao,Y., Zhang,J., Queen,K., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL_5125/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276330,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Tao,Y., Zhang,J., Queen,K., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL_5091/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276331,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Uehara,A., Tao,Y., Zhang,J., Queen,K., Paden,C.R., Li,Y., Wang,H., Padilla,J., Lee,J., Tong,S.",,USA: TX,Homo sapiens,oronasopharynx,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX_2020/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276597,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29851,complete,"Cohen-Gihon,I., Israeli,O., Shifman,O., Stein,D., Melamed,S., Paran,N., Israely,T., Achdout,H., Yahalom Ronen,Y., Tamir,H., Politi,B., Cherry,L., Vitner,E., Weiss,S., Laskar,O., Mandelboim,M., Erster,O., Regev-Yochay,G., Segal,G., Yitzhaki,S., Shapira,S.C., Beth-Din,A., Zvi,A.",,Israel,Homo sapiens,,2020-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ISR/ISR_JP0320/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT276598,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29870,complete,"Cohen-Gihon,I., Israeli,O., Shifman,O., Stein,D., Melamed,S., Paran,N., Israely,T., Achdout,H., Yahalom Ronen,Y., Tamir,H., Politi,B., Cherry,L., Vitner,E., Laskar,O., Weiss,S., Mandelboim,M., Erster,O., Regev-Yochay,G., Segal,G., Yitzhaki,S., Shapira,S.C., Beth-Din,A., Zvi,A.",,Israel,Homo sapiens,,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ISR/ISR_IT0320/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT040333,2020-04-01T00:00:00Z,Pangolin coronavirus,Coronaviridae,29805,complete,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.",,China,Manis javanica,,2017,"Pangolin coronavirus isolate PCoV_GX-P4L, complete genome",Pangolin coronavirus
MT040334,2020-04-01T00:00:00Z,Pangolin coronavirus,Coronaviridae,29801,complete,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.",,China,Manis javanica,,2017,"Pangolin coronavirus isolate PCoV_GX-P1E, complete genome",Pangolin coronavirus
MT040335,2020-04-01T00:00:00Z,Pangolin coronavirus,Coronaviridae,29806,complete,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.",,China,Manis javanica,,2017,"Pangolin coronavirus isolate PCoV_GX-P5L, complete genome",Pangolin coronavirus
MT040336,2020-04-01T00:00:00Z,Pangolin coronavirus,Coronaviridae,29802,complete,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.",,China,Manis javanica,,2017,"Pangolin coronavirus isolate PCoV_GX-P5E, complete genome",Pangolin coronavirus
MT072864,2020-04-01T00:00:00Z,Pangolin coronavirus,Coronaviridae,29795,complete,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.",,China,Pholidota,,2018,"Pangolin coronavirus isolate PCoV_GX-P2V, complete genome",Pangolin coronavirus
MT072865,2020-04-01T00:00:00Z,Pangolin coronavirus,Coronaviridae,29801,partial,"Cao,W., Jia,N., Zhang,Y., Tong,Y., Jiang,J., Jiang,B., Li,J., Yuan,T., Li,W., Qiang,X., Qin,S., Pei,G.",,China,Pholidota,,2017,Pangolin coronavirus isolate PCoV_GX-P3B genomic sequence,Pangolin coronavirus
MT262896,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH2/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT262897,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH3/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT262898,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH4/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT262899,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH5/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT262900,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH6/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT262901,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH7/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT262902,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Zhang,J., Tao,Y., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH8/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT262903,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH9/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT262904,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH10/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
MT262905,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29882,complete,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA: WA,Homo sapiens,,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-NH11/2020, complete genome",Severe acute respiratory syndrome-related coronavirus
