Accession,Release_Date,Species,Family,Length,Nuc_Completeness,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,Collection_Date_code,GenBank_Title,Species_code
KT374054,2015-11-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,29831,complete,"Seong,M.W., Kim,S.Y., Corman,V.M., Kim,T.S., Cho,S.I., Kim,M.J., Lee,S.J., Lee,J.S., Seo,S.H., Ahn,J.S., Yu,B.S., Park,N., Oh,M.D., Park,W.B., Lee,J.Y., Kim,G., Joh,J.S., Jeong,I., Kim,E.C., Drosten,C., Park,S.S., Seong,M.-W., Lee,J.-S., Oh,M.-D.",26814649,South Korea,Homo sapiens,"lung, oronasopharynx",6/3/15,2015-06-03,"Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/035-1-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KX034095,2016-05-08T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30118,complete,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.",,South Korea,Homo sapiens,"lung, oronasopharynx",6/4/15,2015-06-04,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/066-2015, complete genome",Middle East respiratory syndrome-related coronavirus
MG366881,2017-12-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30123,complete,"Queen,K., Li,Y., Tao,Y., Zhang,J., Paden,C.R., Assiri,A.M., Tong,S.",,Saudi Arabia,Homo sapiens,oronasopharynx,6/7/15,2015-06-07,"Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-8677/2017, complete genome",Middle East respiratory syndrome-related coronavirus
MG366882,2017-12-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30123,complete,"Queen,K., Li,Y., Tao,Y., Zhang,J., Paden,C.R., Assiri,A.M., Tong,S.",,Saudi Arabia,Homo sapiens,oronasopharynx,6/7/15,2015-06-07,"Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-8683/2017, complete genome",Middle East respiratory syndrome-related coronavirus
KT868867,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/8/15,2015-06-08,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/024_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT868868,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/8/15,2015-06-08,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/030_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KU308549,2016-03-01T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30119,complete,"Park,W.B., Kwon,N.J., Choe,P.G., Choi,S.J., Oh,H.S., Lee,S.M., Chong,H., Kim,J.I., Song,K.H., Bang,J.H., Kim,E.S., Kim,H.B., Park,S.W., Kim,N.J., Oh,M.D., Chong,H.Y., Kwon,N.-J., Song,K.-H., Kim,H.-B., Oh,M.-D., Seo,J.-S.",26839489,South Korea,Homo sapiens,"lung, oronasopharynx",6/8/15,2015-06-08,"Middle East respiratory syndrome coronavirus isolate Korea/Seoul/SNU1-035/2015, complete genome",Middle East respiratory syndrome-related coronavirus
KT868871,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/9/15,2015-06-09,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/054_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT868870,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30065,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/10/15,2015-06-10,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/038_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT868872,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/10/15,2015-06-10,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/082_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT868873,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/10/15,2015-06-10,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/085_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT868875,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/10/15,2015-06-10,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/122_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT868876,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/10/15,2015-06-10,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/148_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KX034094,2016-05-08T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30111,complete,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.",,South Korea,Homo sapiens,"lung, oronasopharynx",6/11/15,2015-06-11,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/050-1-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KT868865,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/11/15,2015-06-11,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/016_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT868866,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,lung,6/11/15,2015-06-11,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/023_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT868869,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/11/15,2015-06-11,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/031_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT868874,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/11/15,2015-06-11,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/110_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT374053,2015-11-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,29831,complete,"Seong,M.W., Kim,S.Y., Corman,V.M., Kim,T.S., Cho,S.I., Kim,M.J., Lee,S.J., Lee,J.S., Seo,S.H., Ahn,J.S., Yu,B.S., Park,N., Oh,M.D., Park,W.B., Lee,J.Y., Kim,G., Joh,J.S., Jeong,I., Kim,E.C., Drosten,C., Park,S.S., Seong,M.-W., Lee,J.-S., Oh,M.-D.",26814649,South Korea,Homo sapiens,"lung, oronasopharynx",6/13/15,2015-06-13,"Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/014-2-2015, complete genome",Middle East respiratory syndrome-related coronavirus
MG366883,2017-12-06T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30123,complete,"Queen,K., Li,Y., Tao,Y., Zhang,J., Paden,C.R., Assiri,A.M., Tong,S.",,Saudi Arabia,Homo sapiens,oronasopharynx,6/15/15,2015-06-15,"Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-10024/2017, complete genome",Middle East respiratory syndrome-related coronavirus
KX034096,2016-05-08T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30082,complete,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.",,South Korea,Homo sapiens,lung,6/17/15,2015-06-17,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/077-2-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KX034097,2016-05-08T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30118,complete,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.",,South Korea,Homo sapiens,"lung, oronasopharynx",6/17/15,2015-06-17,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/080-3-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KT225476,2015-07-07T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,29809,complete,"Plipat,T., Buathong,R., Wacharapluesadee,S., Siriarayapon,P., Pittayawonganon,C., Sangsajja,C., Kaewpom,T., Petcharat,S., Ponpinit,T., Jumpasri,J., Joyjinda,Y., Rodpan,A., Ghai,S., Jittmittraphap,A., Khongwichit,S., Smith,D.R., Corman,V.M., Drosten,C., Hemachudha,T., Pittayawomganon,C., Sangsaija,C., Jittmitraphap,A.",28840828,Thailand,Homo sapiens,"lung, oronasopharynx",6/17/15,2015-06-17,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/THA/CU/17_06_2015, complete genome",Middle East respiratory syndrome-related coronavirus
KT374055,2015-11-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,29831,complete,"Seong,M.W., Kim,S.Y., Corman,V.M., Kim,T.S., Cho,S.I., Kim,M.J., Lee,S.J., Lee,J.S., Seo,S.H., Ahn,J.S., Yu,B.S., Park,N., Oh,M.D., Park,W.B., Lee,J.Y., Kim,G., Joh,J.S., Jeong,I., Kim,E.C., Drosten,C., Park,S.S., Seong,M.-W., Lee,J.-S., Oh,M.-D.",26814649,South Korea,Homo sapiens,lung,6/18/15,2015-06-18,"Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/035-2-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KT374051,2015-11-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,29831,complete,"Seong,M.W., Kim,S.Y., Corman,V.M., Kim,T.S., Cho,S.I., Kim,M.J., Lee,S.J., Lee,J.S., Seo,S.H., Ahn,J.S., Yu,B.S., Park,N., Oh,M.D., Park,W.B., Lee,J.Y., Kim,G., Joh,J.S., Jeong,I., Kim,E.C., Drosten,C., Park,S.S., Seong,M.-W., Lee,J.-S., Oh,M.-D.",26814649,South Korea,Homo sapiens,"lung, oronasopharynx",6/19/15,2015-06-19,"Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/163-1-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KT374056,2015-11-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,29831,complete,"Seong,M.W., Kim,S.Y., Corman,V.M., Kim,T.S., Cho,S.I., Kim,M.J., Lee,S.J., Lee,J.S., Seo,S.H., Ahn,J.S., Yu,B.S., Park,N., Oh,M.D., Park,W.B., Lee,J.Y., Kim,G., Joh,J.S., Jeong,I., Kim,E.C., Drosten,C., Park,S.S., Seong,M.-W., Lee,J.-S., Oh,M.-D.",26814649,South Korea,Homo sapiens,"lung, oronasopharynx",6/21/15,2015-06-21,"Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/168-1-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KX034098,2016-05-08T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30106,complete,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.",,South Korea,Homo sapiens,lung,6/22/15,2015-06-22,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/162-1-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KT868877,2016-03-09T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30068,partial,"Kim,Y., Cheon,S., Min,C.K., Sohn,K.M., Kang,Y.J., Cha,Y.J., Kang,J.I., Han,S.K., Ha,N.Y., Kim,G., Aigerim,A., Shin,H.M., Choi,M.S., Kim,S., Cho,H.S., Kim,Y.S., Cho,N.H., Kim,Y.-S., Cho,N.-H.",26933050,South Korea,Homo sapiens,"lung, oronasopharynx",6/22/15,2015-06-22,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/CNUH_SNU/172_06_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KT374057,2015-11-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,29831,complete,"Seong,M.W., Kim,S.Y., Corman,V.M., Kim,T.S., Cho,S.I., Kim,M.J., Lee,S.J., Lee,J.S., Seo,S.H., Ahn,J.S., Yu,B.S., Park,N., Oh,M.D., Park,W.B., Lee,J.Y., Kim,G., Joh,J.S., Jeong,I., Kim,E.C., Drosten,C., Park,S.S., Seong,M.-W., Lee,J.-S., Oh,M.-D.",26814649,South Korea,Homo sapiens,"lung, oronasopharynx",6/24/15,2015-06-24,"Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/168-2-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KX034099,2016-05-08T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30110,complete,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.",,South Korea,Homo sapiens,"lung, oronasopharynx",6/26/15,2015-06-26,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/169-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KT374050,2015-11-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,29831,complete,"Seong,M.W., Kim,S.Y., Corman,V.M., Kim,T.S., Cho,S.I., Kim,M.J., Lee,S.J., Lee,J.S., Seo,S.H., Ahn,J.S., Yu,B.S., Park,N., Oh,M.D., Park,W.B., Lee,J.Y., Kim,G., Joh,J.S., Jeong,I., Kim,E.C., Drosten,C., Park,S.S., Seong,M.-W., Lee,J.-S., Oh,M.-D.",26814649,South Korea,Homo sapiens,"lung, oronasopharynx",6/29/15,2015-06-29,"Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/163-2-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KX034100,2016-05-08T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30118,complete,"Park,D., Huh,H.J., Kim,Y.J., Son,D.-S., Jeon,H.-J., Im,E.-H., Kim,J.-W., Lee,N.Y., Kang,E.-S., Chung,D.R., Choi,S.S., Ahn,J.-H., Peck,K.R., Ki,C.-S., Park,W.-Y.",,South Korea,Homo sapiens,lung,7/3/15,2015-07-03,"Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/177-3-2015, complete genome",Middle East respiratory syndrome-related coronavirus
KU851859,2016-06-27T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30076,complete,"Assiri,A.M., Biggs,H.M., Abedi,G.R., Saeed,A.B., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Lu,X., Almasri,M.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Gerber,S.I., Watson,J.T.",,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",7/12/15,2015-07-12,"Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-3RS2702/2015, complete genome",Middle East respiratory syndrome-related coronavirus
KU233362,2016-04-07T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30004,partial,"Lamers,M.M., Raj,V.S., Shafei,M., Ali,S.S., Abdallh,S.M., Gazo,M., Nofal,S., Lu,X., Erdman,D.D., Koopmans,M.P., Abdallat,M., Haddadin,A., Haagmans,B.L., Stalin Raj,V., Koopmans,M.P.G.",26981770,Jordan,Homo sapiens,,2015,2015-07-15,"Middle East respiratory syndrome coronavirus isolate Jordan_10_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KU233363,2016-04-07T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30064,partial,"Lamers,M.M., Raj,V.S., Shafei,M., Ali,S.S., Abdallh,S.M., Gazo,M., Nofal,S., Lu,X., Erdman,D.D., Koopmans,M.P., Abdallat,M., Haddadin,A., Haagmans,B.L., Stalin Raj,V., Koopmans,M.P.G.",26981770,Jordan,Homo sapiens,,2015,2015-07-15,"Middle East respiratory syndrome coronavirus isolate Jordan_1_2015, partial genome",Middle East respiratory syndrome-related coronavirus
KU233364,2016-04-07T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30029,partial,"Lamers,M.M., Raj,V.S., Shafei,M., Ali,S.S., Abdallh,S.M., Gazo,M., Nofal,S., Lu,X., Erdman,D.D., Koopmans,M.P., Abdallat,M., Haddadin,A., Haagmans,B.L., Stalin Raj,V., Koopmans,M.P.G.",26981770,Jordan,Homo sapiens,,2015,2015-07-15,"Middle East respiratory syndrome coronavirus isolate Jordan_1_cultured_2015, partial genome",Middle East respiratory syndrome-related coronavirus
MG757593,2019-01-31T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30096,complete,"Al-Abdely,H.M., Midgley,C.M., Alkhamis,A.M., Abedi,G.R., Lu,X., Binder,A.M., Alanazi,K., Banjar,W., Abdalla,O., Dahl,R.M., Mohammed,M., Tamin,A., Algarni,H.S., Sakthivel,S.K., Algwizani,A., Bafaqeeh,F., Alzahrani,A., Curns,A.T., Alsharef,A.A., Alhakeem,R.F., Thornburg,N.J., Jokhdar,H., Ghazal,S.S., Erdman,D.D., Assiri,A.M., Watson,J.T., Gerber,S.I.",,Saudi Arabia,Homo sapiens,oronasopharynx,8/22/15,2015-08-22,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-002D1N/2015, complete genome",Middle East respiratory syndrome-related coronavirus
MG757594,2019-01-31T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30096,complete,"Al-Abdely,H.M., Midgley,C.M., Alkhamis,A.M., Abedi,G.R., Lu,X., Binder,A.M., Alanazi,K., Banjar,W., Abdalla,O., Dahl,R.M., Mohammed,M., Tamin,A., Algarni,H.S., Sakthivel,S.K., Algwizani,A., Bafaqeeh,F., Alzahrani,A., Curns,A.T., Alsharef,A.A., Alhakeem,R.F., Thornburg,N.J., Jokhdar,H., Ghazal,S.S., Erdman,D.D., Assiri,A.M., Watson,J.T., Gerber,S.I.",,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/24/15,2015-08-24,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-004D1S/2015, complete genome",Middle East respiratory syndrome-related coronavirus
MG757595,2019-01-31T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30096,complete,"Al-Abdely,H.M., Midgley,C.M., Alkhamis,A.M., Abedi,G.R., Lu,X., Binder,A.M., Alanazi,K., Banjar,W., Abdalla,O., Dahl,R.M., Mohammed,M., Tamin,A., Algarni,H.S., Sakthivel,S.K., Algwizani,A., Bafaqeeh,F., Alzahrani,A., Curns,A.T., Alsharef,A.A., Alhakeem,R.F., Thornburg,N.J., Jokhdar,H., Ghazal,S.S., Erdman,D.D., Assiri,A.M., Watson,J.T., Gerber,S.I.",,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/24/15,2015-08-24,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-005D1S/2015, complete genome",Middle East respiratory syndrome-related coronavirus
MG757596,2019-01-31T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30096,complete,"Al-Abdely,H.M., Midgley,C.M., Alkhamis,A.M., Abedi,G.R., Lu,X., Binder,A.M., Alanazi,K., Banjar,W., Abdalla,O., Dahl,R.M., Mohammed,M., Tamin,A., Algarni,H.S., Sakthivel,S.K., Algwizani,A., Bafaqeeh,F., Alzahrani,A., Curns,A.T., Alsharef,A.A., Alhakeem,R.F., Thornburg,N.J., Jokhdar,H., Ghazal,S.S., Erdman,D.D., Assiri,A.M., Watson,J.T., Gerber,S.I.",,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/24/15,2015-08-24,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-006D1S/2015, complete genome",Middle East respiratory syndrome-related coronavirus
MG757597,2019-01-31T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30096,complete,"Al-Abdely,H.M., Midgley,C.M., Alkhamis,A.M., Abedi,G.R., Lu,X., Binder,A.M., Alanazi,K., Banjar,W., Abdalla,O., Dahl,R.M., Mohammed,M., Tamin,A., Algarni,H.S., Sakthivel,S.K., Algwizani,A., Bafaqeeh,F., Alzahrani,A., Curns,A.T., Alsharef,A.A., Alhakeem,R.F., Thornburg,N.J., Jokhdar,H., Ghazal,S.S., Erdman,D.D., Assiri,A.M., Watson,J.T., Gerber,S.I.",,Saudi Arabia,Homo sapiens,oronasopharynx,8/24/15,2015-08-24,"Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-007D1N/2015, complete genome",Middle East respiratory syndrome-related coronavirus
KU851860,2016-06-27T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30096,complete,"Assiri,A.M., Biggs,H.M., Abedi,G.R., Saeed,A.B., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Lu,X., Almasri,M.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Gerber,S.I., Watson,J.T.",,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/24/15,2015-08-24,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16121/2015, complete genome",Middle East respiratory syndrome-related coronavirus
KU851861,2016-06-27T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30096,complete,"Assiri,A.M., Biggs,H.M., Abedi,G.R., Saeed,A.B., Abdalla,O., Mohammed,M., Algarni,H.S., Alhakeem,R.F., Lu,X., Almasri,M.M., Alomar,I.A., Alsharef,A.A., Nooh,R., Erdman,D.D., Gerber,S.I., Watson,J.T.",,Saudi Arabia,Homo sapiens,"lung, oronasopharynx",8/24/15,2015-08-24,"Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16120/2015, complete genome",Middle East respiratory syndrome-related coronavirus
